Index,No,Description,Description_Images,Factory Suggestion,Factory_Suggestion_Images,STG Proposal,STG_Proposal_Images,Customer Decision,Customer_Decision_Images,EQ Status,Customer Name,Customer P/N,Factory P/N,Date,Base Material,Solder Mask,Via Plugging Type,Engineer Name,Panel Size,STG P/N,FileName,Previous Case,Closed Date
10,11,About the base materail and board thickness,2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_16.png;2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_21.png,"We'll build as below:
base material:1.6mm( including copper) H/H OZ
finished board thickness:1.68+/-0.15mm
surface finished copper:35um Min.",2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_16.png;2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_21.png,,2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_16.png;2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_21.png,"BECOM DS: Confirmed
",2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_16.png;2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_21.png,Closed,Becom.AT.Hochstrass, UBL3928--A,JA2C719EA0,2022-08-22 00:00:00,FR4 S1170G Halogen free with TG170,see Q1,,Sunny Yang,,04R012526.A00,2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0).xlsx,True,2025-01-01
11,12,"we can't meet some requirements below:
1. 100% automatic X-ray inspection





2.magnification 15x",2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_23.png;2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_24.png,"Suggestion:
1.ignore it
2.use our normal tooling-magnification 10x",2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_23.png;2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_24.png,,2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_23.png;2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_24.png,follow 2. (no X-ray needed),2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_23.png;2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_24.png,Closed,Becom.AT.Hochstrass, UBL3928--A,JA2C719EA0,2022-08-22 00:00:00,FR4 S1170G Halogen free with TG170,see Q1,,Sunny Yang,,04R012526.A00,2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0).xlsx,True,2025-01-01
12,13,"About the surface,we don't know what should be controled for A1 wire bonding",2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_22.png,"Suggesion:
only control the thickness of  Ni/Au,content of phosphor and surface roughness following Appendix 1",2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_22.png,,2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_22.png,confirmed,2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_22.png,Closed,Becom.AT.Hochstrass, UBL3928--A,JA2C719EA0,2022-08-22 00:00:00,FR4 S1170G Halogen free with TG170,see Q1,,Sunny Yang,,04R012526.A00,2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0).xlsx,True,2025-01-01
13,14,"As picture shown, there are some features on the bridges, we don't know what we shoud do with them",2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_17.png;2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_18.png;2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_19.png;2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_20.png,"Suggesion:
Ignore them",2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_17.png;2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_18.png;2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_19.png;2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_20.png,,2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_17.png;2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_18.png;2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_19.png;2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_20.png,"BECOM DS: Confirmed
",2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_17.png;2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_18.png;2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_19.png;2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0)_image_20.png,Closed,Becom.AT.Hochstrass, UBL3928--A,JA2C719EA0,2022-08-22 00:00:00,FR4 S1170G Halogen free with TG170,see Q1,,Sunny Yang,,04R012526.A00,2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0).xlsx,True,2025-01-01
14,15,Some requiements are nothing to do with PCB manufactor,,"Suggesion:
Ignore them",,,,"ignore DMC, BOM and delivery form. It is for assembly.

But we need area for wire bonding. Wire bonding area is defined on panel frame (see note 2 on drawing). ",,Closed,Becom.AT.Hochstrass, UBL3928--A,JA2C719EA0,2022-08-22 00:00:00,FR4 S1170G Halogen free with TG170,see Q1,,Sunny Yang,,04R012526.A00,2- EQs CML to JST_20220901081722_AW EQ for UBL3928--A(JA2C719EA0).xlsx,True,2025-01-01
15,1,The solder mask colour is different between the CML PO and cutomer PCB spec,2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_6.png,"We suggest to follow CML PO, use YeYo YSR-900 MBK01 black matt to do.

Please confirm.",2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_6.png,,2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_6.png,"CML MN: confirmed
Deltec KS: confirmed",2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_6.png,Closed,"Deltec, DE, Furth","35821922
35821921","JB2C707TA0
JB2C708TA0",2022-07-12 00:00:00," Dekai DK-C150,TG: 150 ºC,Anti-CAF",See Q1,,Kyle.Wang,,"02R012193.C00
02R012192.C00",2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0).xlsx,True,2025-01-01
16,2,"The pattern no. in the gerber are designed at the S/M top layer, it should be abnormal.",2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_4.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_5.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_7.png,"we suggest moving to the S/M bot layer.
Please confirm.",2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_4.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_5.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_7.png,,2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_4.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_5.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_7.png,"CML MN: confirmed
Deltec KS: confirmed",2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_4.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_5.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_7.png,Closed,"Deltec, DE, Furth","35821922
35821921","JB2C707TA0
JB2C708TA0",2022-07-12 00:00:00," Dekai DK-C150,TG: 150 ºC,Anti-CAF",See Q1,,Kyle.Wang,,"02R012193.C00
02R012192.C00",2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0).xlsx,True,2025-01-01
17,3,"About the UL marking,copper pad is added to the circuit layer of the original manuscript at the specified location.",2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_8.png,"We suggest delete copper pad and add UL mark.
Please confirm.








",2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_8.png,,2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_8.png,"CML MN: confirmed
Deltec KS: confirmed",2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_8.png,Closed,"Deltec, DE, Furth","35821922
35821921","JB2C707TA0
JB2C708TA0",2022-07-12 00:00:00," Dekai DK-C150,TG: 150 ºC,Anti-CAF",See Q1,,Kyle.Wang,,"02R012193.C00
02R012192.C00",2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0).xlsx,True,2025-01-01
18,4,"The fiducials are designed outside the board, we suggest delete it.",2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_14.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_15.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_16.png,Please confirm.,2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_14.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_15.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_16.png,,2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_14.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_15.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_16.png,"CML MN: confirmed
Deltec KS: confirmed",2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_14.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_15.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_16.png,Closed,"Deltec, DE, Furth","35821922
35821921","JB2C707TA0
JB2C708TA0",2022-07-12 00:00:00," Dekai DK-C150,TG: 150 ºC,Anti-CAF",See Q1,,Kyle.Wang,,"02R012193.C00
02R012192.C00",2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0).xlsx,True,2025-01-01
19,5,"SinglePCBdwg drawing is from previous version,and the location of the DMC area is different from gerber.",2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_12.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_13.png,"We will ignore the DMC area in the single drawing and the DMC location follows gerber to do.
Please confirm.",2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_12.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_13.png,,2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_12.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_13.png,"CML MN: confirmed
Deltec KS: confirmed",2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_12.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_13.png,Closed,"Deltec, DE, Furth","35821922
35821921","JB2C707TA0
JB2C708TA0",2022-07-12 00:00:00," Dekai DK-C150,TG: 150 ºC,Anti-CAF",See Q1,,Kyle.Wang,,"02R012193.C00
02R012192.C00",2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0).xlsx,True,2025-01-01
20,6,"The drawing requirements""mark only on bottom side"",but in gerber there are S/M opening on both sides.",2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_9.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_10.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_11.png,"We suggest delete top side S/M opening.
Please confirm",2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_9.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_10.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_11.png,,2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_9.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_10.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_11.png,"CML MN: follow gerber
DELTEC KS: follow gerber",2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_9.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_10.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_11.png,Closed,"Deltec, DE, Furth","35821922
35821921","JB2C707TA0
JB2C708TA0",2022-07-12 00:00:00," Dekai DK-C150,TG: 150 ºC,Anti-CAF",See Q1,,Kyle.Wang,,"02R012193.C00
02R012192.C00",2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0).xlsx,True,2025-01-01
21,7,"PN:35821922
The tolerances require of finish hole are different ",2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_17.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_18.png,We suggest to follow PanelDrilldwg file to do(below pictuer),2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_17.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_18.png,,2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_17.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_18.png,"CML MN: confirmed
Deltec KS: confirmed",2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_17.png;2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0)_image_18.png,Closed,"Deltec, DE, Furth","35821922
35821921","JB2C707TA0
JB2C708TA0",2022-07-12 00:00:00," Dekai DK-C150,TG: 150 ºC,Anti-CAF",See Q1,,Kyle.Wang,,"02R012193.C00
02R012192.C00",2- EQs CML to JST_20220719092045_EQ for 35821922 & 35821921（JB2C707TA0 & JB2C708TA0).xlsx,True,2025-01-01
